First,Last,Year,#,Asset,Asset Type,Owner,Value,Income Type,Income
TAMMY,BALDWIN,2018,<td>4</td>,"<td class=""span4""><strong class=""marginit-right"">Wisconsin Retirement System, Madison Wisconsin (defined benefits plan)</strong><div class=""muted""></div></td>","<td>Retirement Plans<div class=""muted"">Defined Benefit Pension Plan</div></td>",<td>Self</td>,"<td>$15,001 - $50,000</td>","<td>None, </td>",<td>None (or less than $201)</td>
TAMMY,BALDWIN,2013,<td>1</td>,"<td class=""span4""><strong class=""marginit-right"">Qualified Blind Trust (Senate approved QBT)</strong><div class=""muted""></div></td>","<td>Trust<div class=""muted"">Blind</div></td>",<td>Self</td>,"<td>$500,001 - $1,000,000</td>","<td>Qualified Blind Trust, </td>","<td>$5,001 - $15,000</td>"
TAMMY,BALDWIN,2013,<td>2</td>,"<td class=""span4""><strong>Summit Credit Union</strong><div class=""muted noWrap"">(Madison, Wisconsin)</div><div class=""muted""><div class=""muted""><em>Type: </em>Checking, Money Market Account, Savings, </div></div></td>",<td>Bank Deposit</td>,<td>Self</td>,"<td>$1,001 - $15,000</td>","<td>Dividends, </td>",<td>None (or less than $201)</td>
TAMMY,BALDWIN,2013,<td>3</td>,"<td class=""span4""><strong class=""marginit-right"">Wisconsin Retirement System, Madison Wisconsin (defined benefits plan)</strong><div class=""muted""></div></td>","<td>Retirement Plans<div class=""muted"">Defined Benefit Pension Plan</div></td>",<td>Self</td>,"<td>$15,001 - $50,000</td>","<td>None, </td>",<td>None (or less than $201)</td>
JOHN,BARRASSO,2018,<td>1</td>,"<td class=""span4""><strong>First Interstate Bank</strong><div class=""muted noWrap"">(Casper, WY)</div><div class=""muted""><div class=""muted""><em>Type: </em>Checking, </div></div></td>",<td>Bank Deposit</td>,<td>Self</td>,"<td>$15,001 - $50,000</td>","<td>Interest, </td>",<td>None (or less than $201)</td>
JOHN,BARRASSO,2018,<td>2</td>,"<td class=""span4""><strong>Jonah Bank</strong><div class=""muted noWrap"">(Casper, WY)</div><div class=""muted""><div class=""muted""><em>Type: </em>Checking, </div></div></td>",<td>Bank Deposit</td>,<td>Self</td>,"<td>$1,001 - $15,000</td>","<td>Interest, </td>",<td>None (or less than $201)</td>
JOHN,BARRASSO,2018,<td>3</td>,"<td class=""span4""><strong>Wells Fargo Bank</strong><div class=""muted noWrap"">(Casper, WY)</div><div class=""muted""><div class=""muted""><em>Type: </em>Checking, </div></div></td>",<td>Bank Deposit</td>,<td>Self</td>,"<td>$15,001 - $50,000</td>","<td>Interest, </td>",<td>None (or less than $201)</td>
JOHN,BARRASSO,2018,<td>4</td>,"<td class=""span4""><strong>Hilltop National Bank</strong><div class=""muted noWrap"">(Casper, WY)</div><div class=""muted""><div class=""muted""><em>Type: </em>Checking, </div></div></td>",<td>Bank Deposit</td>,<td>Spouse</td>,"<td>$1,001 - $15,000</td>","<td>Interest, </td>",<td>None (or less than $201)</td>
JOHN,BARRASSO,2018,<td>5</td>,"<td class=""span4""><strong class=""marginit-right"">RBC Deposits Insured Money Market Fund</strong><div class=""muted""><em>Filer comment:  </em>Formally reported as TPMXX-Tamarack Prime Money Market Fund</div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Self</td>,"<td>$1,001 - $15,000</td>","<td>Dividends, </td>",<td>None (or less than $201)</td>
JOHN,BARRASSO,2018,<td>6</td>,"<td class=""span4""><strong class=""marginit-right""><a href=""http://finance.yahoo.com/q?s=VTSAX"" target=""_blank"">VTSAX</a> - Vanguard Total Stock Market Index Fund Admiral Sha</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Self</td>,"<td>$1,000,001 - $5,000,000</td>","<td>Dividends, </td>","<td>$15,001 - $50,000</td>"
JOHN,BARRASSO,2018,<td>7</td>,"<td class=""span4""><strong class=""marginit-right""><a href=""http://finance.yahoo.com/q?s=VAIPX"" target=""_blank"">VAIPX</a> - Vanguard Inflation-Protected Secs Adm (NASDAQ)</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Self</td>,"<td>$250,001 - $500,000</td>","<td>Dividends, </td>","<td>$5,001 - $15,000</td>"
JOHN,BARRASSO,2018,<td>8</td>,"<td class=""span4""><strong class=""marginit-right""><a href=""http://finance.yahoo.com/q?s=VMMXX"" target=""_blank"">VMMXX</a> - Vanguard Money Market Reserves  (NASDAQ)</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Self</td>,"<td>$250,001 - $500,000</td>","<td>Interest, </td>","<td>$201 - $1,000</td>"
JOHN,BARRASSO,2018,<td>9</td>,"<td class=""span4""><strong class=""marginit-right"">BRK-B-Berkshire Hathaway Inc. (NYSE)</strong><div class=""muted""></div></td>","<td>Corporate Securities<div class=""muted"">Stock</div></td>",<td>Self</td>,"<td>$250,001 - $500,000</td>","<td>Capital Gains, </td>",<td>None (or less than $201)</td>
JOHN,BARRASSO,2018,<td>10</td>,"<td class=""span4""><strong class=""marginit-right""><a href=""http://finance.yahoo.com/q?s=VMSXX"" target=""_blank"">VMSXX</a> - Vanguard Tax-Exempt Money Marke (NASDAQ)</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Self</td>,"<td>$250,001 - $500,000</td>","<td>None, </td>","<td>$201 - $1,000</td>"
JOHN,BARRASSO,2018,<td>11</td>,"<td class=""span4""><strong class=""marginit-right""><a href=""http://finance.yahoo.com/q?s=VGSLX"" target=""_blank"">VGSLX</a> - Vanguard REIT Index Adm (NASDAQ)</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Self</td>,"<td>$250,001 - $500,000</td>","<td>Dividends, </td>","<td>$5,001 - $15,000</td>"
JOHN,BARRASSO,2018,<td>12</td>,"<td class=""span4""><strong class=""marginit-right""><a href=""http://finance.yahoo.com/q?s=VBTLX"" target=""_blank"">VBTLX</a> - Vanguard Total Bond Market Index Adm</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Self</td>,"<td>$1,000,001 - $5,000,000</td>","<td>Dividends, </td>","<td>$15,001 - $50,000</td>"
JOHN,BARRASSO,2018,<td>13</td>,"<td class=""span4""><strong class=""marginit-right"">Promissory Note</strong><div class=""muted""><em>Company:</em> Wyoming Orthopaedics Institute, LLC (Casper, WY) </div></td>","<td>Accounts Receivable<div class=""muted"">From a Business</div></td>",<td>Self</td>,"<td>$250,001 - $500,000</td>","<td>Interest, </td>","<td>$15,001 - $50,000</td>"
JOHN,BARRASSO,2019,<td>1</td>,"<td class=""span4""><strong>First Interstate Bank</strong><div class=""muted noWrap"">(Casper, WY)</div><div class=""muted""><div class=""muted""><em>Type: </em>Checking, </div></div></td>",<td>Bank Deposit</td>,<td>Self</td>,"<td>$50,001 - $100,000</td>","<td>Interest, </td>",<td>None (or less than $201)</td>
JOHN,BARRASSO,2019,<td>2</td>,"<td class=""span4""><strong>Jonah Bank</strong><div class=""muted noWrap"">(Casper, WY)</div><div class=""muted""><div class=""muted""><em>Type: </em>Checking, </div></div></td>",<td>Bank Deposit</td>,<td>Self</td>,"<td>$1,001 - $15,000</td>","<td>Interest, </td>",<td>None (or less than $201)</td>
JOHN,BARRASSO,2019,<td>3</td>,"<td class=""span4""><strong>Wells Fargo Bank</strong><div class=""muted noWrap"">(Casper, WY)</div><div class=""muted""><div class=""muted""><em>Type: </em>Checking, </div></div></td>",<td>Bank Deposit</td>,<td>Self</td>,"<td>$15,001 - $50,000</td>","<td>Interest, </td>",<td>None (or less than $201)</td>
JOHN,BARRASSO,2019,<td>4</td>,"<td class=""span4""><strong>Hilltop National Bank</strong><div class=""muted noWrap"">(Casper, WY)</div><div class=""muted""><div class=""muted""><em>Type: </em>Checking, </div></div></td>",<td>Bank Deposit</td>,<td>Spouse</td>,"<td>$1,001 - $15,000</td>","<td>Interest, </td>",<td>None (or less than $201)</td>
JOHN,BARRASSO,2019,<td>5</td>,"<td class=""span4""><strong class=""marginit-right"">RBC Deposits Insured Money Market Fund</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Self</td>,"<td>$1,001 - $15,000</td>","<td>Dividends, </td>",<td>None (or less than $201)</td>
JOHN,BARRASSO,2019,<td>6</td>,"<td class=""span4""><strong class=""marginit-right""><a href=""http://finance.yahoo.com/q?s=VTSAX"" target=""_blank"">VTSAX</a> - Vanguard Total Stock Market Index Fund Admiral Sha</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Self</td>,"<td>$1,000,001 - $5,000,000</td>","<td>Dividends, </td>","<td>$15,001 - $50,000</td>"
JOHN,BARRASSO,2019,<td>7</td>,"<td class=""span4""><strong class=""marginit-right""><a href=""http://finance.yahoo.com/q?s=VMMXX"" target=""_blank"">VMMXX</a> - Vanguard Money Market Reserves  (NASDAQ)</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Self</td>,"<td>$100,001 - $250,000</td>","<td>Interest, </td>","<td>$201 - $1,000</td>"
JOHN,BARRASSO,2019,<td>8</td>,"<td class=""span4""><strong class=""marginit-right"">BRK-B-Berkshire Hathaway Inc. (NYSE)</strong><div class=""muted""></div></td>","<td>Corporate Securities<div class=""muted"">Stock</div></td>",<td>Self</td>,"<td>$250,001 - $500,000</td>","<td>Capital Gains, </td>",<td>None (or less than $201)</td>
JOHN,BARRASSO,2019,<td>9</td>,"<td class=""span4""><strong class=""marginit-right""><a href=""http://finance.yahoo.com/q?s=VMSXX"" target=""_blank"">VMSXX</a> - Vanguard Tax-Exempt Money Marke (NASDAQ)</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Self</td>,"<td>$15,001 - $50,000</td>","<td>None, Interest, </td>","<td>$201 - $1,000</td>"
JOHN,BARRASSO,2019,<td>10</td>,"<td class=""span4""><strong class=""marginit-right""><a href=""http://finance.yahoo.com/q?s=VBTLX"" target=""_blank"">VBTLX</a> - Vanguard Total Bond Market Index Adm</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Self</td>,"<td>$1,000,001 - $5,000,000</td>","<td>Dividends, </td>","<td>$15,001 - $50,000</td>"
JOHN,BARRASSO,2019,<td>11</td>,"<td class=""span4""><strong class=""marginit-right""><a href=""http://finance.yahoo.com/q?s=VWENX"" target=""_blank"">VWENX</a> - Vanguard Wellington Fund Admiral Shares</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Self</td>,"<td>$1,000,001 - $5,000,000</td>","<td>Dividends, </td>","<td>$50,001 - $100,000</td>"
JOHN,BARRASSO,2019,<td>12</td>,"<td class=""span4""><strong class=""marginit-right"">Promissory Note</strong><div class=""muted""><em>Company:</em> Wyoming Orthopaedics Institute, LLC (Casper, WY) </div></td>","<td>Accounts Receivable<div class=""muted"">From a Business</div></td>",<td>Self</td>,"<td>$100,001 - $250,000</td>","<td>Interest, </td>","<td>$15,001 - $50,000</td>"
JOHN,BARRASSO,2020,<td>1</td>,"<td class=""span4""><strong>First Interstate Bank</strong><div class=""muted noWrap"">(Casper, WY)</div><div class=""muted""><div class=""muted""><em>Type: </em>Checking, </div></div></td>",<td>Bank Deposit</td>,<td>Self</td>,"<td>$50,001 - $100,000</td>","<td>Interest, </td>",<td>None (or less than $201)</td>
JOHN,BARRASSO,2020,<td>2</td>,"<td class=""span4""><strong>Jonah Bank</strong><div class=""muted noWrap"">(Casper, WY)</div><div class=""muted""><div class=""muted""><em>Type: </em>Checking, </div></div></td>",<td>Bank Deposit</td>,<td>Self</td>,"<td>$1,001 - $15,000</td>","<td>Interest, </td>",<td>None (or less than $201)</td>
JOHN,BARRASSO,2020,<td>3</td>,"<td class=""span4""><strong>Wells Fargo Bank</strong><div class=""muted noWrap"">(Casper, WY)</div><div class=""muted""><div class=""muted""><em>Type: </em>Checking, </div></div></td>",<td>Bank Deposit</td>,<td>Self</td>,"<td>$15,001 - $50,000</td>","<td>Interest, </td>",<td>None (or less than $201)</td>
JOHN,BARRASSO,2020,<td>4</td>,"<td class=""span4""><strong>Hilltop National Bank</strong><div class=""muted noWrap"">(Casper, WY)</div><div class=""muted""><div class=""muted""><em>Type: </em>Checking, </div></div></td>",<td>Bank Deposit</td>,<td>Spouse</td>,"<td>$1,001 - $15,000</td>","<td>Interest, </td>",<td>None (or less than $201)</td>
JOHN,BARRASSO,2020,<td>5</td>,"<td class=""span4""><strong class=""marginit-right"">RBC Deposits Insured Money Market Fund</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Self</td>,"<td>$1,001 - $15,000</td>","<td>Interest, </td>",<td>None (or less than $201)</td>
JOHN,BARRASSO,2020,<td>6</td>,"<td class=""span4""><strong class=""marginit-right""><a href=""http://finance.yahoo.com/q?s=VTSAX"" target=""_blank"">VTSAX</a> - Vanguard Total Stock Market Index Fund Admiral Sha</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Self</td>,"<td>$1,000,001 - $5,000,000</td>","<td>Dividends, </td>","<td>$15,001 - $50,000</td>"
JOHN,BARRASSO,2020,<td>7</td>,"<td class=""span4""><strong class=""marginit-right""><a href=""http://finance.yahoo.com/q?s=VMMXX"" target=""_blank"">VMMXX</a> - Vanguard Money Market Reserves  (NASDAQ)</strong><div class=""muted""><em>Filer comment:  </em>This is held in a Vanguard IRA.</div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Self</td>,"<td>$50,001 - $100,000</td>","<td>Interest, </td>","<td>$201 - $1,000</td>"
JOHN,BARRASSO,2020,<td>8</td>,"<td class=""span4""><strong class=""marginit-right"">BRK-B-Berkshire Hathaway Inc. (NYSE)</strong><div class=""muted""></div></td>","<td>Corporate Securities<div class=""muted"">Stock</div></td>",<td>Self</td>,"<td>$250,001 - $500,000</td>","<td>Capital Gains, </td>",<td>None (or less than $201)</td>
JOHN,BARRASSO,2020,<td>9</td>,"<td class=""span4""><strong class=""marginit-right""><a href=""http://finance.yahoo.com/q?s=VMSXX"" target=""_blank"">VMSXX</a> - Vanguard Tax-Exempt Money Marke (NASDAQ)</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Self</td>,"<td>$500,001 - $1,000,000</td>","<td>Interest, </td>","<td>$201 - $1,000</td>"
JOHN,BARRASSO,2020,<td>10</td>,"<td class=""span4""><strong class=""marginit-right""><a href=""http://finance.yahoo.com/q?s=VBTLX"" target=""_blank"">VBTLX</a> - Vanguard Total Bond Market Index Adm</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Self</td>,"<td>$1,000,001 - $5,000,000</td>","<td>Dividends, </td>","<td>$15,001 - $50,000</td>"
JOHN,BARRASSO,2020,<td>11</td>,"<td class=""span4""><strong class=""marginit-right""><a href=""http://finance.yahoo.com/q?s=VWENX"" target=""_blank"">VWENX</a> - Vanguard Wellington Fund Admiral Shares</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Self</td>,"<td>$1,000,001 - $5,000,000</td>","<td>Dividends, </td>","<td>$5,001 - $15,000</td>"
JOHN,BARRASSO,2020,<td>12</td>,"<td class=""span4""><strong class=""marginit-right"">Promissory Note</strong><div class=""muted""><em>Company:</em> Wyoming Orthopaedics Institute, LLC (Casper, WY) </div></td>","<td>Accounts Receivable<div class=""muted"">From a Business</div></td>",<td>Self</td>,"<td>$100,001 - $250,000</td>","<td>Interest, </td>","<td>$5,001 - $15,000</td>"
JOHN,BARRASSO,2017,<td>1</td>,"<td class=""span4""><strong>First Interstate Bank</strong><div class=""muted noWrap"">(Casper, WY)</div><div class=""muted""><div class=""muted""><em>Type: </em>Checking, </div></div></td>",<td>Bank Deposit</td>,<td>Self</td>,"<td>$15,001 - $50,000</td>","<td>Interest, </td>",<td>None (or less than $201)</td>
JOHN,BARRASSO,2017,<td>2</td>,"<td class=""span4""><strong>Jonah Bank</strong><div class=""muted noWrap"">(Casper, WY)</div><div class=""muted""><div class=""muted""><em>Type: </em>Checking, </div></div></td>",<td>Bank Deposit</td>,<td>Self</td>,"<td>$1,001 - $15,000</td>","<td>Interest, </td>",<td>None (or less than $201)</td>
JOHN,BARRASSO,2017,<td>3</td>,"<td class=""span4""><strong>Wells Fargo Bank</strong><div class=""muted noWrap"">(Casper, WY)</div><div class=""muted""><div class=""muted""><em>Type: </em>Checking, </div></div></td>",<td>Bank Deposit</td>,<td>Self</td>,"<td>$15,001 - $50,000</td>","<td>Interest, </td>",<td>None (or less than $201)</td>
JOHN,BARRASSO,2017,<td>4</td>,"<td class=""span4""><strong>Hilltop National Bank</strong><div class=""muted noWrap"">(Casper, WY)</div><div class=""muted""><div class=""muted""><em>Type: </em>Checking, </div></div></td>",<td>Bank Deposit</td>,<td>Spouse</td>,"<td>$1,001 - $15,000</td>","<td>Interest, </td>",<td>None (or less than $201)</td>
JOHN,BARRASSO,2017,<td>5</td>,"<td class=""span4""><strong class=""marginit-right"">TPMXX</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Self</td>,"<td>$1,001 - $15,000</td>","<td>Interest, </td>",<td>None (or less than $201)</td>
JOHN,BARRASSO,2017,<td>6</td>,"<td class=""span4""><strong class=""marginit-right"">VTSAX-Vanguard Total Stock Mkt Idx Adm (NASDAQ)</strong><div class=""muted""></div></td>","<td>Mutual Funds<div class=""muted"">Mutual Fund</div></td>",<td>Self</td>,"<td>$1,000,001 - $5,000,000</td>","<td>Dividends, </td>","<td>$15,001 - $50,000</td>"
